t,v_mps,v_kph,acc_mps2,P_req_shaft_W,P_brake_avail_shaft_W,P_engine_mech_W,P_motor_mech_W,P_batt_W,SOC,engine_on,fuel_total_L
211.0,2.5462962962962967,9.166666666666668,0.23148148148148184,1273.214784050797,0.0,0.0,1273.214784050797,1383.9291130986924,0.5212726922755088,False,0.0
212.0,2.7777777777777777,10.0,0.23148148148148096,1390.2415626677378,0.0,0.0,1390.2415626677378,1511.1321333344974,0.5206835569408754,False,0.0
213.0,3.0092592592592595,10.833333333333334,0.23148148148148184,1507.6022491282188,0.0,0.0,1507.6022491282188,1638.6980968784985,0.5200446882871216,False,0.0
214.0,3.240740740740741,11.666666666666668,0.2314814814814814,1625.3246690858532,0.0,0.0,1625.3246690858532,1766.657249006362,0.5193559330243511,False,0.0
215.0,3.4722222222222223,12.5,0.2314814814814814,1743.4366481942764,0.0,0.0,1743.4366481942764,1895.0398349937786,0.5186171260711372,False,0.0
216.0,3.7037037037037037,13.333333333333334,0.2314814814814814,1861.9660121071147,0.0,0.0,1861.9660121071147,2023.876100116429,0.5178280905545225,False,0.0
217.0,3.9351851851851856,14.166666666666668,0.23148148148148184,1980.9405864779987,0.0,0.0,1980.9405864779987,2153.1962896499986,0.5169886378100196,False,0.0
218.0,4.166666666666667,15.000000000000002,0.2314814814814814,2100.3881969605477,0.0,0.0,2100.3881969605477,2283.0306488701603,0.5160985673816102,False,0.0
219.0,4.398148148148148,15.833333333333332,0.23148148148148096,2220.336669208393,0.0,0.0,2220.336669208393,2413.4094230526007,0.5151576670217456,False,0.0
220.0,4.62962962962963,16.666666666666668,0.23148148148148184,2340.8138288751743,0.0,0.0,2340.8138288751743,2544.3628574730155,0.5141657126913468,False,0.0
221.0,4.861111111111111,17.5,0.23148148148148096,2461.8475016144953,0.0,0.0,2461.8475016144953,2675.92119740706,0.5131224685598041,False,0.0
222.0,5.0925925925925934,18.333333333333336,0.23148148148148273,2583.465513080019,0.0,0.0,2583.465513080019,2808.1146881304553,0.5120276870049774,False,0.0
223.0,5.324074074074074,19.166666666666668,0.23148148148148096,2705.695688925322,0.0,0.0,2705.695688925322,2940.973574918828,0.5108811086131961,False,0.0
224.0,5.555555555555555,20.0,0.23148148148148096,2828.565854804074,0.0,0.0,2828.565854804074,3074.528103047907,0.5096824621792594,False,0.0
225.0,5.787037037037037,20.833333333333336,0.23148148148148184,2952.103836369901,0.0,0.0,2952.103836369901,3208.8085177933704,0.5084314647064354,False,0.0
226.0,6.018518518518519,21.666666666666668,0.23148148148148184,3076.33745927641,0.0,0.0,3076.33745927641,3343.84506443088,0.5071278214064623,False,0.0
227.0,6.25,22.5,0.23148148148148096,3201.2945491772293,0.0,0.0,3201.2945491772293,3479.6679882361186,0.5057712256995477,False,0.0
228.0,6.481481481481482,23.333333333333336,0.23148148148148184,3327.0029317260137,0.0,0.0,3327.0029317260137,3616.3075344847975,0.5043613592143684,False,0.0
229.0,6.712962962962963,24.166666666666668,0.23148148148148096,3453.4904325763537,0.0,0.0,3453.4904325763537,3753.793948452558,0.5028978917880712,False,0.0
230.0,6.944444444444445,25.0,0.23148148148148184,3580.7848773819146,0.0,0.0,3580.7848773819146,3892.1574754151243,0.5013804814662719,False,0.0
